S. No.,Heading / Chapter,Description of Service,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Condition
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"[(ib) Services by way of job work in relation to diamonds falling under chapter 71 in the First Schedule to the Customs Tariff Act, 1975 (51of 1975);",0.75,0.75,1.5,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"(ic) Services by way of job work in relation to bus body building; “Explanation- For the purposes of this entry, the term “bus body building” shall include building of body on chassis of any vehicle falling under chapter 87 in the First Schedule to the Customs Tariff Act, 1975.”",9,9,18,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),(ica) Services by way of job work in relation to manufacture of alcoholic liquor for human consumption,9,9,18,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"(id) Services by way of job work other than “(i), (ia), (ib), (ic) and (ica) above;",6,6,12,
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"[(ii) Services by way of any treatment or process on goods 5 - 6 belonging to another person, in relation to- (a) printing of newspapers; (b) printing of books (including Braille books), journals and periodicals. (c) printing of all goods falling under Chapter 48 or 49, which attract IGST @ 5 per cent. or Nil.",2.5,2.5,5,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"(iia) Services by way of any treatment or process on goods belonging to another person, in relation to printing of all goods falling under Chapter 48 or 49, which attract IGST @ 12 per cent.",6,6,12,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),(iii) Tailoring services.,2.5,2.5,5,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"(iv) Manufacturing services on physical inputs (goods) owned by others, other than (i), (ia), (ib), (ic), (ica), (id), (ii), (iia) and (iii) above.",9,9,18,-
27,Heading 9989,"Other manufacturing services; publishing, printing and reproduction services; material recovery services",9,9,18,-]
28,Section 9,"Community, Social and Personal Services and other miscellaneous services",,,,
29,Heading 9991,Public administration and other services provided to the community as a whole; compulsory social security services.,9,9,18,-
30,Heading 9992,Education services.,9,9,18,-
31,Heading 9993,Human health and social care services.,9,9,18,-
31A,Heading 9993,Services provided by a clinical establishment by way of providing room [other than Intensive Care Unit (ICU)/Critical Care Unit (CCU)/Intensive Cardiac Care Unit (ICCU)/Neo natal Intensive Care Unit (NICU)] having room charges exceeding Rs. 5000 per day to a person receiving health care services.,2.5,2.5,5,The credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation no. (iv)]”;
32,Heading 9994,(i) Services by way of treatment of effluents by a Common Effluent Treatment Plant.,6,6,12,-
32,Heading 9994,(ia) Services by way of treatment or disposal of biomedical waste or the processes incidental thereto by a common bio-medical waste treatment facility to a clinical establishment.,6,6,12,-
32,Heading 9994,"(ii) Sewage and waste collection, treatment and disposal and other environmental protection services other than (i) & (ia) above.",9,9,18,-
33,Heading 9995,Services of membership organisations.,9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)","(i) Services by way of admission or access to circus, Indian classical dance including folk dance, theatrical performance, drama [or planetarium]130.",9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)",(ii) Services by way of admission exhibition of cinematograph films where price of admission ticket is one hundred rupees or less.,6,6,12,-
34,"Heading 9996 (Recreational, cultural and sporting services)",[(iia) Services by way of admission to exhibition of cinematograph films where price of admission ticket is above one hundred rupees.,9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)","[(iii) Services by way of admission to; (a) theme parks, water parks and any other place having joy rides, merry- go rounds, go carting, or (b) ballet, - other than any place covered by (iiia) below",9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)",(iiia) Services by way of admission to (a) casinos or race clubs or any place having casinos or race clubs or (b) sporting events like Indian Premier League.,14,14,28,..
34,"Heading 9996 (Recreational, cultural and sporting services)",(iv) Services provided by a race club by way of totalisator or a license to bookmaker in such club.,14,14,28,-
34,"Heading 9996 (Recreational, cultural and sporting services)",(v) Gambling.,14,14,28,-
34,"Heading 9996 (Recreational, cultural and sporting services)","(vi) Recreational, cultural and sporting services other than (i), (ii), [(iia)]134 (iii), [(iiia),]135 (iv) and (v) above.",9,9,18,-
35,Heading 9997,"Other services (washing, cleaning and dyeing services; beauty and physical well-being services; and other miscellaneous services including services nowhere else classified).",9,9,18,-
36,Heading 9998,Domestic services.,9,9,18,-
37,Heading 9999,Services provided by extra territorial organisations and bodies.,9,9,18,-
38,Heading 9954 or 9983 or 9987,"Service by way of construction or engineering or installation or other technical services, provided in relation of setting up of following, - (a) Bio-gas plant (b) Solar power based devices (c) Solar power generating system (d) Wind mills, Wind Operated Electricity Generator (WOEG) (e) Waste to energy plants / devices (f) Ocean waves/tidal waves energy devices/plants  Explanation:- This entry shall be read in conjunction with serial number *** [201A of Schedule II]136 of the notification No. 1/2017- Central Tax (Rate), published in the Gazette of India, Extraordinary, Part II, Section 3, Sub-section (i) dated 28th June, 2017 vide GSR number 673(E) dated 28th June, 2017.",9,9,18,-
,Chapter 99,"Supply of services other than services by way of grant of development rights, long term lease of land (against upfront payment in the form of premium, salami, development charges etc.) or FSI (including additional FSI) by an unregistered person to a promoter for construction of a project on which tax is payable by the recipient of the services under sub- section 4 of section 5 of the Integrated Goods and Services Tax Act, 2017 (13 of 2017), as prescribed in notification No. 07/2019- Integrated Tax (Rate), dated 29th March, 2019, published in Gazette of India vide G.S.R. No. _, dated 29th March, 2019. Explanation. - This entry is to be taken to apply to all services which satisfy the conditions prescribed herein, even though they may be covered by a more specific chapter, section or heading elsewhere in this notification.",9,9,18,-
,Chapter 99,"Services by an entity registered under section 12AA or 12AB of the Income-tax Act, 1961 (43 of 1961) by way of charitable activities.",Nil,Nil,Nil,…
,Chapter 99,"Services by way of transfer of a going concern, as a whole or an independent part thereof.",Nil,Nil,Nil,…
,Chapter 99,"Pure services (excluding works contract service or other composite supplies involving supply of any goods) provided to the Central Government, State Government or Union territory or local authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution or in relation to any function entrusted to a Municipality under article 243W of the Constitution.",Nil,Nil,Nil,…
,Chapter 99,"Composite supply of goods and services in which the value of supply of goods constitutes not more than 25 per cent of the value of the said composite supply provided to the Central Government,State Government or Union territory or local authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution or in relation to any function entrusted to a Municipality under article 243W of the Constitution.",Nil,Nil,Nil,…
,Chapter 99,Services by governmental authority by way of any activity in relation to any function entrusted to a municipality under article 243 W of the Constitution.,Nil,Nil,Nil,…
,Chapter 99,Services by a Governmental Authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution.,Nil,Nil,Nil,…
,Chapter 99,"Services by the Central Government, State Government, Union territory or local authority excluding the following services— (a) services by the Department of Posts (b) services in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport; (c) transport of goods or passengers; or (d) any service, other than services covered under entries (a) to (c) above, provided to business entities.",Nil,Nil,Nil,…
,Chapter 99,"Services provided by the Central Government, State Government, Union territory or local authority to a business entity with an aggregate turnover of up to [such amount in the preceding financial year as makes it eligible for exemption from registration under the Central Goods and Services Tax Act, 2017 (12 of 2017)]9 Explanation.- For the purposes of this entry, it is hereby clarified that the provisions of this entry shall not be applicable to- (a) services,- (i) by the Department of Posts (ii) in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport; (iii) of transport of goods or passengers; and (b) services by way of renting of immovable property.",Nil,Nil,Nil,…
,Chapter 99,"Services provided by the Central Government, State Government, Union territory or local authority to another Central Government, State Government, Union territory or local authority: Provided that nothing contained in this entry shall apply to services- (i) by the Department of Posts (ii) in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport; (iii) of transport of goods or passengers.",Nil,Nil,Nil,…
,Chapter 99,"Services provided by Central Government, State Government, Union territory or a local authority where the consideration for such services does not exceed five thousand rupees: Provided that nothing contained in this entry shall apply to- (i) services by the Department of Posts (ii) services in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport; (iii) transport of goods or passengers: Provided further that in case where continuous supply of service, as defined in sub-section (33) of section 2 of the Central Goods and Services Tax Act, 2017, is provided by the Central Government, State Government, Union territory or a local authority, the exemption shall apply only where the consideration charged for such service does not exceed five thousand rupees in a financial year.",Nil,Nil,Nil,…
,Chapter 99,"Services received from a provider of service located in a non- taxable territory by – (a) the Central Government, State Government, Union territory, a local authority, a governmental authority or an individual in relation to any purpose other than commerce, industry or any other business or profession; (b) an entity registered under section 12AA of the Income-tax Act, 1961 (43 of 1961) for the purposes of providing charitable activities; or [(ba) way of supply of online educational journals or periodicals to an educational institution other than an institution providing services by way of- (i) pre-school education and education up to higher secondary school or equivalent; or (ii) education as a part of an approved vocational education course;]10 (c) a person located in a non-taxable territory: Provided that the exemption shall not apply to – (i) online information and database access or retrieval services received by persons specified in entry (a) or entry (b); or (ii) services by way of transportation of goods by a vessel from a place outside India up to the customs station of clearance in India received by persons specified in the entry.",Nil,Nil,Nil,…
,Chapter 99,Services provided by and to Fédération Internationale de Football Association (FIFA) and its subsidiaries directly or indirectly related to any of the events under FIFA U-17 World Cup 2017 to be hosted in India.,Nil,Nil,Nil,"Provided that Director (Sports), Ministry of Youth Affairs and Sports certifies that the services are directly or indirectly related to any of the events under FIFA U- 17 World Cup 2017."
,Chapter 99,Services provided by and to Fédération Internationale de Football Association (FIFA) and its subsidiaries directly or indirectly related to any of the events under FIFA U-17 Women's World Cup 2020 to be hosted in India [whenever rescheduled],Nil,Nil,Nil,"Provided that Director (Sports), Ministry of Youth Affairs and Sports certifies that the services are directly or indirectly related to any of the events under FIFA U-17 Women's World Cup 2020."
,Chapter 99,Services provided by and to Asian Football Confederation (AFC) and its subsidiaries directly or indirectly related to any of the events under AFC Women's Asia Cup 2022 to be hosted in India.,Nil,Nil,Nil,"Provided that Director (Sports), Ministry of Youth Affairs and Sports certifies that the services are directly or indirectly related to any of the events under AFC Women's Asia Cup 2022."
,Chapter 99,Supply of services associated with transit cargo to Nepal and Bhutan (landlocked countries).,Nil,Nil,Nil,…
,Chapter 99,"Supply of service by a Government Entity to Central Government, State Government, Union territory, local authority or any person specified by Central Government, State Government, Union territory or local authority against consideration received from Central Government, State Government, Union territory or local authority, in the form of grants.",Nil,Nil,Nil,…
,Chapter 99,"Services by an old age home run by Central Government, State Government or by an entity registered under section 12AA [or 12AB ] 19 of the Income-tax Act, 1961 (43 of 1961) to its residents (aged 60 years or more) against consideration upto twenty-five thousand rupees per month per member provided that the consideration charged is inclusive of charges for boarding, lodging and maintenance.",Nil,Nil,Nil,…
,Chapter 99,"Services supplied by an establishment of a person in India to any establishment of that person outside India, which are treated as establishments of distinct persons in accordance with Explanation 1 in section 8 of the Integrated Goods and Services Tax Act, 2017.",Nil,Nil,Nil,"Provided the place of supply of the service is outside India in accordance with section 13 of Integrated Goods and Services Tax Act, 2017."
,Chapter 99,"Import of services by United Nations or a specified international organisation for official use of the United Nations or the specified international organisation. Explanation. - For the purposes of this entry, unless the context otherwise requires, “specified international organisation” means an international organisation declared by the Central Government in pursuance of section 3 of the United Nations (Privileges and Immunities Act) 1947 (46 of 1947), to which the provisions of the Schedule to the said Act apply.",Nil,Nil,Nil,…
,Chapter 99,"Import of services by Foreign diplomatic mission or consular post in India, or diplomatic agents or career consular officers posted therein.",Nil,Nil,Nil,"Foreign diplomatic mission or consular post in India, or diplomatic agents or career consular officers posted therein shall be entitled to exemption from integrated tax leviable on the import of services subject to the conditions, - (i) that the foreign diplomatic mission or consular post in India, or diplomatic agents or career consular officers posted therein, are entitled to exemption from integrated tax, as stipulated in the certificate issued by the Protocol Division of the Ministry of External Affairs, based on the principle of reciprocity; (ii) that the services imported are for official purpose of the said foreign diplomatic mission or consular post; or for personal use of the said diplomatic agent or career consular officer or members of his or her family. (iii) that in case the Protocol Division of the Ministry of External Affairs, after having issued a certificate to any foreign diplomatic mission or consular post in India, decides to withdraw the same subsequently, it shall communicate the withdrawal of such certificate to the foreign diplomatic mission or consular post; (iv) that the exemption from the whole of the integrated tax granted to the foreign diplomatic mission or consular post in India for official purpose or for the personal use or use of their family members shall not be available from the date of withdrawal of such certificate."
,Heading 9954,"Services provided by way of pure labour contracts of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of a civil structure or any other original works pertaining to the beneficiary-led individual house construction or enhancement under the Housing for All (Urban) Mission or Pradhan Mantri Awas Yojana.",Nil,Nil,Nil,…
,Heading 9954,"Services supplied by electricity distribution utilities by way of construction, erection, commissioning, or installation of infrastructure for extending electricity distribution network upto the tube well of the farmer or agriculturalist for agricultural use.",Nil,Nil,Nil,…
,Heading 9954,"Services by way of pure labour contracts of construction, erection, commissioning, or installation of original works pertaining to a single residential unit otherwise than as a part of a residential complex.",Nil,Nil,Nil,…
,Heading 9961 or Heading 9962,"Service provided by Fair Price Shops to Central Government, State Government or Union territory by way of sale of food grains, kerosene, sugar, edible oil, etc. under Public Distribution System against consideration in the form of commission or margin.",Nil,Nil,Nil,…
,Heading 9961,Services provided by an intermediary when location of both supplier and recipient of goods is outside the taxable territory.,Nil,Nil,Nil,Following documents shall be maintained for a minimum duration of five years: 1) Copy of Bill of Lading 2) Copy of executed contract between Supplier/Seller and Receiver/Buyer of goods 3) Copy of commission debit note raised by an intermediary service provider in taxable territory from service recipient located in non-taxable territory 4) Copy of certificate of origin issued by service recipient located in non- taxable territory 5) Declaration letter from an intermediary service provider in taxable territory on company letter head confirming thatcommission debit note raised relates to contract when both supplier and receiver of goods are outside the taxable territory
,Heading 9963 or Heading 9972,"Services by way of renting of residential dwelling for use as residence except where the residential dwelling is rented to a registered person.            Explanation. - For the purpose of exemption under this entry, this entry shall cover services by way of renting of residential dwelling to a registered person where, – (i) the registered person is proprietor of a proprietorship concern and rents the residential dwelling in his personal capacity for use as his own residence; and (ii) such renting is on his own account and not that of the proprietorship concern.",Nil,Nil,Nil,
,Heading 9963 or Heading 9972 or Heading 9995 or any other Heading of Section 9,"Services by a person by way of- (a) conduct of any religious ceremony; (b) renting of precincts of a religious place meant for general public, owned or managed by an entity registered as a charitable or religious trust under section 12AA [or 12AB ] 30 of the Income-tax Act, 1961 (hereinafter referred to as the Income-tax Act) or a trust or an institution registered under sub clause (v) of clause (23C) of section 10 of the Income-tax Act or a body or an authority covered under clause (23BBA) of section 10 of the said Income-tax Act: Provided that nothing contained in entry (b) of this exemption shall apply to,- (i) renting of rooms where charges are one thousand rupees or more per day; (ii) renting of premises, community halls, kalyanmandapam or open area, and the like where charges are ten thousand rupees or more per day; (iii) renting of shops or other spaces for business or commerce where charges are ten thousand rupees or more per month.",Nil,Nil,Nil,…
,Heading 9964,"Transport of passengers, with or without accompanied belongings, by – (a) air in economy class, embarking from or terminating in an airport located in the state of Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, or Tripura or at Bagdogra located in West Bengal; (b) non-airconditioned contract carriage other than radio taxi, for transportation of passengers, excluding tourism, conducted tour, charter or hire; or (c) stage carriage other than air- conditioned stage carriage. Provided that nothing contained in items (b) and (c) above shall apply to services supplied through an electronic commerce operator, and notified under sub-section (5) of Section 5 of the Integrated Goods and Services Tax Act, 2017 (13 of 2017).",Nil,Nil,Nil,…
,Heading 9964,"Services provided to the Central Government, by way of transport of passengers with or without accompanied belongings, by air, embarking from or terminating at a regional connectivity scheme airport, against consideration in the form of viability gap funding: Provided that nothing contained in this entry shall apply on or after the expiry of a period of three years from the date of commencement of operations of the regional connectivity scheme airport as notified by the Ministry of Civil Aviation.",Nil,Nil,Nil,…
,Heading 9964,"Service of transportation of passengers, with or without accompanied belongings, by— (a) railways in a class other than— (i) first class; or (ii) an air-conditioned coach; (b) metro, monorail or tramway; (c) inland waterways; (d) public transport, other than predominantly for tourism purpose, in a vessel between places located in India; and (e) metered cabs or auto rickshaws (including e-rickshaws). Provided that nothing contained in item (e) above shall apply to services supplied through an electronic commerce operator, and notified under sub-section (5) of Section 5 of the Integrated Goods and Services Tax Act, 2017 (13 of 2017).",Nil,Nil,Nil,…
,Heading 9965,Services by way of transportation of goods-(a) by road except the services of— (i) a goods transportation agency; (ii) a courier agency; (b) by inland waterways.,Nil,Nil,Nil,…
,Heading 9965,Services by way of transportation of goods by an aircraft from a place outside India upto the customs station of clearance in India.,Nil,Nil,Nil,…
,Heading 9965,Services by way of transportation of goods by an aircraft from customs station of clearance in India to a place outside India.,Nil,Nil,Nil,Nothing contained in this serial number shall apply after the 30th day of September2022
,Heading 9965,Services by way of transportation of goods by a vessel from customs station of clearance in India to a place outside India.,Nil,Nil,Nil,Nothing contained in this serial number shall apply after 30th day of September 2022
,Heading 9965,"Satellite launch services supplied by Indian Space Research Organisation, Antrix Corporation Limited or New Space India Limited.",Nil,Nil,Nil,…
,Heading 9965,"Services by way of transportation by rail or a vessel from one place in India to another of the following goods – (a) relief materials meant for victims of natural or man-made disasters, calamities, accidents or mishap; (b) defence or military equipments; (c) newspaper or magazines registered with the Registrar of Newspapers; (e) agricultural produce; (f) milk, salt and food grain including flours, pulses and rice; and (g) organic manure.",Nil,Nil,Nil,…
,Heading 9965 or Heading 9967,"Services provided by a goods transport agency, by way of transport in a goods carriage of - (a) agricultural produce; (d) milk, salt and food grain including flour, pulses and rice; (e) organic manure; (f) newspaper or magazines registered with the Registrar of Newspapers; (g) relief materials meant for victims of natural or man-made disasters, calamities, accidents or mishap; or (h) defence or military equipments.",Nil,Nil,Nil,…
,Heading 9965 or Heading 9967,"Services provided by a goods transport agency to an unregistered person, including an unregistered casual taxable person, other than the following recipients, namely: - (a) any factory registered under or governed by the Factories Act, 1948(63 of 1948); or (b) any Society registered under the Societies Registration Act, 1860 (21 of 1860) or under any other law for the time being in force in any part of India; or (c) any Co-operative Society established by or under any law for the time being in force; or (d) any body corporate established, by or under any law for the time being in force; or (e) any partnership firm whether registered or not under any law including association of persons; (f) any casual taxable person registered under the Central Goods and Services Tax Act or the Integrated Goods and Services Tax Act or the State Goods and Services Tax Act or the Union Territory Goods and Services Tax Act.",Nil,Nil,Nil,…
,Heading 9965 or Heading 9967,"Services provided by a goods transport agency, by way of transport of goods in a goods carriage, to, - (a) a Department or Establishment of the Central Government or State Government or Union territory; or (b) local authority; or (c) Governmental agencies, which has taken registration under the Central Goods and Services Tax Act, 2017 (12 of 2017) only for the purpose of deducting tax under Section 51 and not for making a taxable supply of goods or services.",Nil,Nil,Nil,…
,Heading 9966 or Heading 9973,"Services by way of giving on hire – (a) to a state transport undertaking, a motor vehicle meant to carry more than twelve passengers; or (aa) to a local authority, an Electrically operated vehicle meant to carry more than twelve passengers; or Explanation.- For the purposes of this entry, “Electrically operated vehicle” means vehicle falling under Chapter 87 in the First Schedule to the Customs Tariff Act, 1975 (51 of 1975) which is run solely on electrical energy derived from an external source or from one or more electrical batteries fitted to such road vehicle. (b) to a goods transport agency, a means of transportation of goods; (c) motor vehicle for transport of students, faculty and staff, to a person providing services of transportation of students, faculty and staff to an educational institution providing services by way of pre-school education and education upto higher secondary school or equivalent.",Nil,Nil,Nil,…
,Heading 9967,Service by way of access to a road or a bridge on payment of toll charges.,Nil,Nil,Nil,…
,Heading 9967 or Heading 9985,"Services by way of loading, unloading, packing, storage or warehousing of rice.",Nil,Nil,Nil,…
,Heading 9967 or Heading 9985,Services by way of warehousing of minor forest produce.,Nil,Nil,Nil,…
,Heading 9967 or Heading 9985,"“Services by way of storage or warehousing of cereals, pulses, fruits and vegetables.”;",Nil,Nil,Nil,…
,Chapter 9968,"Services by the Department of Posts by way of post card, inland letter, book post and ordinary post (envelopes weighing less than 10 grams).",Nil,Nil,Nil,…
,Heading 9969,Transmission or distribution of electricity by an electricity transmission or distribution utility.,Nil,Nil,Nil,…
,Heading 9971,"Services by way of— (a) extending deposits, loans or advances in so far as the consideration is represented by way of interest or discount (other than interest involved in credit card services);        (b) inter se sale or purchase of foreign currency amongst banks or authorised dealers of foreign exchange or amongst banks and such dealers.",Nil,Nil,Nil,…
,Heading 9971,Services provided by a banking company to Basic Saving Bank Deposit (BSBD) account holders under Pradhan Mantri Jan Dhan Yojana (PMJDY).,Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,"Services of life insurance business provided by way of annuity under the National Pension System regulated by the Pension Fund Regulatory and Development Authority of India under the Pension Fund Regulatory and Development Authority Act, 2013 (23 of 2013).",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,"Services of life insurance business provided or agreed to be provided by the Army, Naval and Air Force Group Insurance Funds to members of the Army, Navy and Air Force, respectively, under the Group Insurance Schemes of the Central Government.",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,Services of life insurance provided or agreed to be provided by the Naval Group Insurance Fund to the personnel of Coast Guard under the Group Insurance Schemes of the Central Government.,Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,Services of life insurance provided or agreed to be provided by the Central Armed Police Forces (under Ministry of Home Affairs) Group Insurance Funds to their members under the Group Insurance Schemes of the concerned Central Armed Police Force.,Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,"Services by the Employees’ State Insurance Corporation to persons governed under the Employees’ State Insurance Act, 1948 (34 of 1948).",Nil,Nil,Nil,…
,Heading 9971,"Services provided by the Employees Provident Fund Organisation to the persons governed under the Employees Provident Funds and the Miscellaneous Provisions Act, 1952 (19 of 1952).",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,"Services by Coal Mines Provident Fund Organisation to persons governed by the Coal Mines Provident Fund and Miscellaneous Provisions Act, 1948 (46 of 1948).",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,Services by National Pension System (NPS) Trust to its members against consideration in the form of administrative fee.,Nil,Nil,Nil,…
,Heading 9971,"Services by an acquiring bank, to any person in relation to settlement of an amount upto two thousand rupees in a single transaction transacted through credit card, debit card, charge card or other payment card service. Explanation.— For the purposes of this entry, “acquiring bank” means any banking company, financial institution including non- banking financial company or any other person, who makes the payment to any person who accepts such card.",Nil,Nil,Nil,…
,Heading 9971,"Services supplied by Central Government, State Government, Union territory to their undertakings or Public Sector Undertakings (PSUs) by way of guaranteeing the loans taken by such undertakings or PSUs from the [banking companies and]59 financial institutions.",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,"Services of general insurance business provided under following schemes – (a) Hut Insurance Scheme; (b) Cattle Insurance under Swarnajaynti Gram Swarozgar Yojna (earlier known as Integrated Rural Development Programme); (c) Scheme for Insurance of Tribals; (d) Janata Personal Accident Policy and Gramin Accident Policy; (e) Group Personal Accident Policy for Self-Employed Women; (f) Agricultural Pumpset and Failed Well Insurance; (g) premia collected on export credit insurance; (h) [Restructured Weather Based Crop Insurance Scheme (RWCIS)]61, approved by the Government of India and implemented by the Ministry of Agriculture; (i) Jan Arogya Bima Policy; (j) [Pradhan Mantri Fasal BimaYojana (PMFBY);]62 (k) Pilot Scheme on Seed Crop Insurance; (l) Central Sector Scheme on Cattle Insurance; (m) Universal Health Insurance Scheme; (n) Rashtriya Swasthya Bima Yojana; (o) Coconut Palm Insurance Scheme; (p) Pradhan Mantri Suraksha BimaYojna; (q) Niramaya Health Insurance Scheme implemented by the Trust constituted under the provisions of the National Trust for the Welfare of Persons with Autism, Cerebral Palsy, Mental Retardation and Multiple Disabilities Act, 1999 (44 of 1999). (r) Bangla Shasya Bima",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,"Services of life insurance business provided under following schemes- (a) Janashree Bima Yojana; (b) Aam Aadmi Bima Yojana; (c) Life micro-insurance product as approved by the Insurance Regulatory and Development Authority, having maximum amount of cover of [two lakhs]64 rupees; (d) Varishtha Pension BimaYojana; (e) Pradhan Mantri Jeevan JyotiBimaYojana; (f) Pradhan Mantri Jan DhanYogana; (g) Pradhan Mantri Vaya Vandan Yojana.",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,Services by way of reinsurance of the insurance schemes specified in serial numbers 36 or 37 or 41,Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,Services by way of collection of contribution under the Atal Pension Yojana.,Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,Services by way of collection of contribution under any pension scheme of the State Governments.,Nil,Nil,Nil,…
,Heading 9971 or Heading 9985,Services by the following persons inrespective capacities – (a) business facilitator or a business correspondent to a banking company with respect to accounts in its rural area branch; (b) any person as an intermediary to a business facilitator or a business correspondent with respect to services mentioned in entry (a); or (c) business facilitator or a business correspondent to an insurance company in a rural area.,Nil,Nil,Nil,…
,Heading 9971,"Services by an intermediary of financial services located in a multi services SEZ with International Financial Services Centre (IFSC) status to a customer located outside India for international financial services in currencies other than Indian rupees (INR). Explanation.- For the purposes of this entry, the intermediary of financial services in IFSC is a person,- (i) who is permitted or recognised as such by the Government of India or any Regulator appointed for regulation of IFSC; or (ii) who is treated as a person resident outside India under regulation 3 of the Foreign Exchange Management (International Financial Services Centre) Regulations, 2015; or (iii) who is registered under the Insurance Regulatory and Development Authority of India (International Financial Service Centre) Guidelines, 2015 as IFSC Insurance Office; or (iv) who is permitted as such by Securities and Exchange Board of India (SEBI) under the Securities and Exchange Board of India (International Financial Services Centres) Guidelines, 2015.",Nil,Nil,Nil,…
,Heading 9971 or Heading 9991,"Services provided to the Central Government, State Government, Union territory under any insurance scheme for which total premium is paid by the Central Government, State Government, Union territory.",Nil,Nil,Nil,…
,Heading 9971,"Services received by the Reserve Bank of India, from outside India in relation to management of foreign exchange reserves.",Nil,Nil,Nil,…
,Heading 9972,"Upfront amount (called as premium, salami, cost, price, development charges or by any other name) payable in respect of service by way of granting of long term lease of thirty years, or more) of industrial plots or plots for development of infrastructure for financial business, provided by the State Government Industrial Development Corporations or Undertakings or by any other entity having 20 per cent. or more ownership of Central Government, State Government, Union territory to the industrial units or the developers in any industrial or financial business area. Explanation.- For the purpose of this exemption, the Central Government, State Government or Union territory shall have 20 per cent. or more ownership in the entity directly or through an entity which is wholly owned by the Central Government, State Government or Union territory.",Nil,Nil,Nil,"Provided that the leased plots shall be used for the purpose for which they are allotted, that is, for industrial or financial activity in an industrial or financial business area:        Provided further that the State Government concerned shall monitor and enforce the above condition as per the order issued by the State Government in this regard: Provided also that in case of any violation or subsequent change of land use, due to any reasonwhatsoever, the original lessor, original lessee as well as any subsequent lessee or buyer or owner shall be jointly and severally liable to pay such amount of central tax, as would have been payable on the upfront amount charged for the long term lease of the plots but for the exemption contained herein, along with the applicable interest and penalty: Provided also that t lease agreement enter into by the origin lessor with the origin lessee or subseque lessee, or sub-lessee, well as any subseque lease or sale agreemen for lease or sale of su plots to subseque lessees or buyers owners shall incorpora in the terms a conditions, the fact th the central tax w exempted on the lo term lease of the pl by the original less to the original less subject to abo condition and that t parties to the sa agreements undertake comply with the same."
